Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,distan_parkKM,dist_schoolKM,NPisos,Estado,id,Realtor
129884400,3600,158396,Lampa,AvenidaLaHacienda,3,2,68,221,1,"1,4","0,3",2,0,7850612,Behouse
130000000,3603,158537,Buin,Villaseca,5,3,150,190,2,"1,4","0,3",1,0,10081485,
172998805,4795,210974,PuenteAlto,BarrioAustria,4,3,90,182,3,"1,0","0,2",3,1,10257247,Bissac
135296250,3750,164995,Buin,ComercianteArmandoPérezCarrasco,3,2,85,175,1,"1,3","0,3",2,1,20153043,Ambiento Propiedades
195000000,5405,237805,QuintaNormal,Hostos,3,3,130,402,1,"0,9","0,2",1,0,16669338,Puntoinmobiliario.cl
144316000,4000,175995,Peñaflor,PasajeReinaldoEscobar,3,3,84,180,3,"1,3","0,3",3,1,19749660,Gesinprop Gestión Inmobiliaria
140000000,3880,170732,PuenteAlto,CalleCardenalFresno,3,3,92,172,4,"1,3","0,3",2,1,7675587,Mauro Propiedades
150000000,4158,182927,QuintaNormal,PoblaciónIndus,5,2,130,300,1,"1,2","0,2",3,1,16741170,Mauro Propiedades
164159450,4550,200194,Lampa,LaMontañaSur4149,3,3,120,189,1,"1,1","0,2",1,0,20107942,Propiedades Cuzmar
145000000,4019,176829,SanJoaquín,Ríoñuble,2,1,70,140,,"1,2","0,2",2,1,20088962,Royalrealty Spa
124000000,3437,151220,Maipú,HermanosCarrera,3,1,62,165,2,"1,5","0,3",1,0,18678102,Grio Propiedades
110000000,3049,134146,Independencia,Pje.Lanceros988,2,1,92,82,1,"1,6","0,3",2,0,17498609,Amgprop
110000000,3049,134146,PuenteAlto,LasHortensias,3,1,50,131,1,"1,6","0,3",3,1,18394432,Gesinprop Gestión Inmobiliaria
400000000,11087,487805,SanMiguel,AvenidaSalesianos,7,3,220,270,2,"0,5","0,1",2,1,20065940,
251831420,6980,307111,Pudahuel,DelCrepúsculo,3,3,140,298,2,"0,7","0,1",3,0,17445269,Promoción Inmobiliaria
188000000,5211,229268,Santiago,RafaelSotomayor381,4,2,131,77,,"1,0","0,2",1,0,9991479,Jlipropiedades
210000000,5821,256098,Maipú,Islachica,3,2,110,133,1,"0,9","0,2",2,0,20029509,
142512050,3950,173795,SanBernardo,Pje.SanArcadio1680,4,2,120,209,4,"1,3","0,3",3,0,20001332,Optima Propiedades
94100000,2608,114756,Maipú,Elsurazo,3,1,55,100,1,"1,9","0,4",2,0,11630172,alejandra escanilla garrido
135000000,3742,164634,Maipú,Manchester,3,1,99,170,1,"1,3","0,3",1,0,20000186,alejandra escanilla garrido
125000000,3465,152439,Maipú,LosChilenos,4,,47,120,,"1,4","0,3",3,1,17820003,alejandra escanilla garrido
134000000,3714,163415,Maipú,PasajeVirgendeGuadalupe3,3,3,83,137,2,"1,3","0,3",1,1,15504782,alejandra escanilla garrido
120000000,3326,146341,LaFlorida,Avenidacoronelytrinidad,4,2,101,140,2,"1,5","0,3",2,0,19999356,
200000000,5543,243902,SanBernardo,Libertad,3,1,,,1,"0,9","0,2",3,1,19986343,
149908245,4155,182815,PuenteAlto,LosAvellamos3939,3,2,84,209,3,"1,2","0,2",2,1,19992949,
230000000,6375,280488,SanBernardo,SanBernardo,3,2,,,,"0,8","0,2",1,0,19987791,
140000000,3880,170732,SanBernardo,CondominioValleEscondido,4,3,,,1,"1,3","0,3",2,1,19987521,
400000000,11087,487805,SanBernardo,SanBernardo,5,1,,,1,"0,5","0,1",1,0,19987285,
80000000,2217,97561,SanBernardo,SanBernardo,3,2,,,1,"2,3","0,5",3,1,19987244,
364397900,10100,444388,Peñalolén,AltosdelParque4190,3,3,140,272,2,"0,5","0,1",2,0,16264974,Eme Erre Propiedades
150000000,4158,182927,LaFlorida,AlonsodeErcilla8284,4,2,,,2,"1,2","0,2",1,1,19888734,
149908245,4155,182815,Buin,LosTuliperos1,3,3,,,1,"1,2","0,2",3,1,19821065,
104051836,2884,126892,PuenteAlto,Abtao,3,1,61,108,2,"1,7","0,3",2,0,11066473,Bissac
163726502,4538,199666,Lampa,LasVeronicasPoniente,4,3,113,217,3,"1,1","0,2",1,1,15853413,Bissac
487066500,13500,593984,IsladeMaipo,IsladeMaipo,4,4,210,5000,2,"0,4","0,1",3,1,19794534,
523145500,14500,637982,LasCondes,Brunellesco490,6,3,210,460,2,"0,3","0,1",2,1,15125995,Arévalo Propiedades
90000000,2495,109756,Quilicura,arturoprat84,3,1,90,100,1,"2,0","0,4",1,0,14184606,Veronica Jara Zuñiga
195006995,5405,237813,PuenteAlto,AvenidaConchayToro,4,2,60,200,4,"0,9","0,2",3,1,18766384,Marcia Rivera Fonseca
162355500,4500,197995,IsladeMaipo,calledosxx,3,2,96,300,3,"1,1","0,2",2,0,19757255,
227297700,6300,277192,Buin,ValleAraucarias,3,3,98,223,2,"0,8","0,2",1,0,19395951,
342028920,9480,417108,LaFlorida,RojasMagallanes3600,4,4,129,160,2,"0,5","0,1",2,1,19749278,
83000000,2301,101220,Maipú,PasajePasodeLosPatos,3,2,56,62,1,"2,2","0,4",3,0,19749302,
90000000,2495,109756,PuenteAlto,TroncalSanFrancisco2244,3,2,,,1,"2,0","0,4",1,1,17525980,Evelyn Carrillo Santander
120000000,3326,146341,LoPrado,LosCopihues,4,1,152,225,2,"1,5","0,3",2,0,19747243,Guzmán & Ortega Asesoría Inmobiliaria SpA
115000000,3187,140244,PuenteAlto,PasajeBogatell2Sur,3,2,57,120,3,"1,6","0,3",3,1,19746717,
95000000,2633,115854,Maipú,PasajeFilodendro6,3,3,76,117,1,"1,9","0,4",1,1,15766961,
85000000,2356,103659,Maipú,Galicia,2,1,74,102,1,"2,1","0,4",2,1,18394606,Gesinprop Gestión Inmobiliaria
138000000,3825,168293,Maipú,SantaGumercinda,4,3,90,122,1,"1,3","0,3",3,0,18558462,Gesinprop Gestión Inmobiliaria
94959928,2632,115805,Peñaflor,CalleOtawaconNuevaFlorida,3,2,109,128,1,"1,9","0,4",2,0,19060308,
247141150,6850,301392,Colina,CondominioAyresdeChicureo,3,3,120,421,2,"0,7","0,1",1,1,9490225,
120000000,3326,146341,LaGranja,PresidenteManuelBulnes,3,2,61,163,2,"1,5","0,3",3,1,15704946,
145000000,4019,176829,Renca,AvenidaVicuñaMackenna,3,3,,170,2,"1,2","0,2",1,0,19665177,Ecm Inmobiliaria
338421020,9380,412709,Pudahuel,Miradores,3,3,132,450,2,"0,5","0,1",2,0,13253599,Tzanis Propiedades
140000000,3880,170732,Lampa,Coelemu,4,2,204,905,,"1,3","0,3",3,0,17335553,Echeverria Propiedades
110000000,3049,134146,PadreHurtado,CardenalAntonioSamore,2,1,50,150,2,"1,6","0,3",2,0,19610822,
487066500,13500,593984,LaReina,CarlosOssandon,5,3,700,140,,"0,4","0,1",1,0,7701940,Armacima
315691250,8750,384989,LaReina,Loreley,3,2,165,119,2,"0,6","0,1",2,0,7702267,Armacima
135000000,3742,164634,SanBernardo,SantaFilomena,3,2,180,120,1,"1,3","0,3",1,1,9887472,Armacima
